District,Jurisdiction,Route,Route Name,VA Struc No.,Fed Struc Id,Crossing,Type,Year Built,Year Recnst (State),Year Recnst (Fed),Deck Cond,Super Cond,Sub Cond,Culvert Cond,Suffic Rating,NBI,Func Obslt,Struc Defic,Last Inspected,Weight Posting Status,Single Sign - Single Unit Vehicle - Posted Capacity (in tons),Dual Sign - Single Unit Vehicle - Posted Capacity (in tons),Dual Sign - Combination Unit Vehicle - Posted Capacity (in tons),Responsibility,Structure Length (FT),Structure Width (FT),Avg Daily Traffic,Road System,Health Index,Report Date
Bristol,Bland County,00052,SOUTH SCENIC HWY,1014,0002940,CRAB ORCHARD CREEK,Culvert,1969,0,-1,N,N,N,6,99.0,Y,,,2/2/2012,-,,,,VDOT,43,68,4705,Primary,94,2/5/2014
Bristol,Bland County,00042,E BLUE GRASS TRAIL,1040,0002944,SPRING BRANCH,Culvert,1940,0,-1,N,N,N,7,97.0,N,,,2/6/2012,-,,,,VDOT,11.2,44,705,Primary,100,2/5/2014
Bristol,Bland County,00042,E BLUE GRASS TRAIL,1041,0002945,SPRING BRANCH,Culvert,1940,0,-1,N,N,N,7,97.0,N,,,2/6/2012,-,,,,VDOT,8.9,51,705,Primary,99.37,2/5/2014
Bristol,Bland County,00042,E BLUE GRASS TRAIL,1042,0002946,CATTLE PASS,Culvert,1939,0,-1,N,N,N,7,95.2,N,,,2/6/2012,-,,,,VDOT,5.9,39,2553,Primary,94.92,2/5/2014
Bristol,Bland County,00042,W BLUE GRASS TRAIL,1051,0002949,N FORK HOLSTON RIVER,Bridge,1950,1973,-1,6,6,6,N,95.6,N,,,2/22/2012,-,,,,VDOT,21,32.5,217,Primary,99.81,2/5/2014
Bristol,Bland County,00042,WEST BLUEGRASS TRL,1055,0002952,SPRING BRANCH,Bridge,1950,1976,-1,7,7,6,N,89.5,N,,,2/21/2012,-,,,,VDOT,18,34.8,217,Primary,97.03,2/5/2014
Bristol,Bland County,00052,North Scenic Hwy.,1002,0002959,LAUREL FORK @ ROCKY GAP,Bridge,1927,1992,-1,6,6,6,N,77.8,Y,FO,,10/17/2012,-,,,,VDOT,85,27.9,2565,Primary,81.34,2/5/2014
Bristol,Bland County,00052,NORTH SCENIC HWY,1006,0002960,WOLF CREEK,Bridge,1927,1998,1998,6,7,6,N,100.0,Y,,,9/12/2012,-,,,,VDOT,214.9,33.1,414,Primary,93.59,2/5/2014
Bristol,Bland County,00052,NORTH SCENIC HWY,1007,0002961,WOLF CREEK @ HICKSVILLE,Bridge,1927,1998,1998,7,8,6,N,100.0,Y,,,9/12/2012,-,,,,VDOT,173.9,33.1,414,Primary,99.98,2/5/2014
Bristol,Bland County,00052,NORTH SCENIC HWY,1009,0002963,HUNTING CAMP CK@ BASTIAN,Bridge,2008,0,-1,7,7,7,N,84.3,Y,,,7/5/2012,-,,,,VDOT,89.9,35.4,1671,Primary,100,2/5/2014
Bristol,Bland County,00061,ROUTE 0061,1026,0002969,CLEAR FORK CREEK #8,Bridge,1941,1991,-1,6,6,6,N,93.5,Y,,,11/18/2013,-,,,,VDOT,92,30,541,Primary,99.15,2/5/2014
Bristol,Bland County,00061,ROUTE 0061,1027,0002970,CLEAR FORK CREEK #7,Bridge,1941,1991,-1,6,6,6,N,93.5,Y,,,11/18/2013,-,,,,VDOT,92,30,541,Primary,95.28,2/5/2014
Bristol,Bland County,00061,ROUTE 0061,1028,0002971,CLEAR FORK CREEK #6,Bridge,1941,1991,-1,6,6,6,N,93.5,Y,,,11/18/2013,-,,,,VDOT,91.9,29.9,541,Primary,84.34,2/5/2014
Bristol,Bland County,00061,ROUTE 0061,1029,0002972,CLEAR FORK CREEK #5,Bridge,1941,1990,-1,6,6,6,N,88.4,Y,,,12/11/2012,-,,,,VDOT,91.9,29.9,541,Primary,78.99,2/5/2014
Bristol,Bland County,00061,CLEAR FORD CRK RD,1030,0002973,CLEAR FORK CREEK #4,Bridge,1941,1991,-1,7,7,6,N,91.5,Y,,,11/18/2013,-,,,,VDOT,65.9,29.9,541,Primary,98.89,2/5/2014
Bristol,Bland County,00061,ROUTE 0061,1031,0002974,CLEAR FORK CREEK #3,Bridge,1941,1990,-1,7,7,6,N,88.4,Y,,,12/11/2012,-,,,,VDOT,89.9,29.9,541,Primary,94.6,2/5/2014
Bristol,Bland County,00061,ROUTE 0061,1035,0002978,WOLF CKEEK,Bridge,1987,0,-1,6,8,6,N,98.9,Y,,,7/5/2012,-,,,,VDOT,151.9,35.8,402,Primary,98.78,2/5/2014
Bristol,Bland County,00061,WOLF CREEK HWY,1056,0002979,SPRING BRANCH,Bridge,1951,1993,-1,7,7,6,N,74.6,N,,,2/27/2013,-,,,,VDOT,9.8,29.9,402,Primary,93.58,2/5/2014
Bristol,Bland County,00061,WOLF CREEK HWY,1057,0002980,SPRING BRANCH,Bridge,1951,1993,-1,6,6,6,N,81.0,N,,,2/27/2013,-,,,,VDOT,9.8,29.2,402,Primary,84.96,2/5/2014
Bristol,Bland County,00061,WOLF CREEK HWY,1058,0002981,SPRING BRANCH,Bridge,1951,1993,-1,6,6,6,N,85.4,Y,,,2/27/2013,-,,,,VDOT,21,29.2,402,Primary,80.4,2/5/2014
Bristol,Bland County,00077,ROUTE 0077,2002,0002988,N&SBL OVER TOWN CREEK,Culvert,1969,0,-1,N,N,N,6,83.0,Y,,,4/5/2012,-,,,,VDOT,22,775,25049,Interstate,98.03,2/5/2014
Bristol,Bland County,00077,SBL RTE 0077,2008,0002994,RTES 52 & 61,Bridge,1974,1991,-1,7,7,6,N,92.0,Y,,,11/11/2013,-,,,,VDOT,250,44,12000,Interstate,96.14,2/5/2014
Bristol,Bland County,00077,INTERSTATE 77 NBL,2009,0002996,RTES 52 & 61,Bridge,1974,1991,-1,7,7,6,N,92.0,Y,,,11/11/2013,-,,,,VDOT,250,44,12827,Interstate,97.68,2/5/2014
Bristol,Bland County,00077,I-77 NBL,2010,0002998,RTE 613 & LAUREL CREEK,Bridge,1974,0,1996,6,7,6,N,88.7,Y,,,3/8/2012,-,,,,VDOT,564,45.3,12827,Interstate,98.7,2/5/2014
Bristol,Bland County,00077,I-77 SBL,2011,0003000,RTE 613 & LAUREL CREEK,Bridge,1974,1995,1995,6,7,6,N,88.9,Y,,,3/8/2012,-,,,,VDOT,562,44,11000,Interstate,97.54,2/5/2014
Bristol,Bland County,00077,ROUTE 0077,2014,0003004,N&SBL O VEH. UNDERPASS,Culvert,1974,0,-1,N,N,N,6,85.0,N,,,2/22/2011,-,,,,VDOT,12.1,300,25654,Interstate,92.98,2/5/2014
Bristol,Bland County,00077,ROUTE 0077,2015,0003005,N&SBL OVER BRANCH,Culvert,1974,0,-1,N,N,N,6,85.0,N,,,2/27/2013,-,,,,VDOT,20,264,23160,Interstate,96.84,2/5/2014
Bristol,Bland County,00077,ROUTE 0077,2016,0003006,N&SBL OVER BRANCH,Culvert,1974,0,-1,N,N,N,7,85.0,N,,,2/9/2011,-,,,,VDOT,7.9,231,25049,Interstate,96.23,2/5/2014
Bristol,Bland County,00077,ROUTE 0077,2017,0003007,N&SBL OVER BRANCH,Culvert,1974,0,-1,N,N,N,6,85.0,N,,,2/9/2011,-,,,,VDOT,13.1,1575,25049,Interstate,91.38,2/5/2014
Bristol,Bland County,00077,I-77 SBL,2018,0003008,RTE 52,Bridge,1974,0,-1,6,6,6,N,91.8,Y,,,10/9/2012,-,,,,VDOT,151.9,44,12000,Interstate,90.26,2/5/2014
Bristol,Bland County,00077,I-77 NBL,2019,0003010,RTE 52,Bridge,1974,0,-1,6,6,6,N,88.8,Y,,,10/9/2012,-,,,,VDOT,151.9,44,12524,Interstate,89.48,2/5/2014
Bristol,Bland County,00077,RAMP A,2028,0003024,RMP NBL O WILDERNESS CK,Culvert,1973,0,-1,N,N,N,6,99.0,Y,,,12/11/2012,-,,,,VDOT,30.8,87,27434,Interstate,84.61,2/5/2014
Bristol,Bland County,00077,ROUTE 0077,2030,0003026,N&SBL OVER BRANCH,Culvert,1973,0,-1,N,N,N,7,100.0,N,,,2/7/2012,-,,,,VDOT,7.9,213,27434,Interstate,66.67,2/5/2014
Bristol,Bland County,00601,LITTLE CREEK HWY,6002,0003038,LITTLE WALKER CREEK #4,Bridge,1989,0,-1,7,7,6,N,81.2,Y,,,1/15/2014,-,,,,VDOT,32.2,25.6,287,Secondary,83.4,2/5/2014
